id,block,trial,blocktype,deviance,laterality,stim,trialtype,trialcode
21,8,1,0,1,right,RAX1,glostd,000
21,8,2,0,1,right,RAX1,glostd,000
21,8,3,0,1,right,RAX1,glostd,000
21,8,4,0,1,right,RAX1,glostd,000
21,8,5,0,1,right,RAX1,glostd,000
21,8,6,0,1,right,RAX1,glostd,000
21,8,7,0,1,right,RAX1,glostd,000
21,8,8,0,1,right,RAX1,glostd,000
21,8,9,0,1,right,RAX1,glostd,000
21,8,10,0,1,right,RAX1,glostd,000
21,8,11,0,1,right,RAX1,glostd,000
21,8,12,0,1,right,RAX1,glostd,000
21,8,13,0,1,right,RAX1,glostd,000
21,8,14,0,1,right,RAX1,glostd,000
21,8,15,0,1,right,RAX1,glostd,000
21,8,16,0,1,right,RAX1,glostd,001
21,8,17,0,1,right,RAX1,glostd,002
21,8,18,0,1,right,RAX1,glostd,003
21,8,19,0,1,right,RAY2,glodev,020
21,8,20,0,1,right,RAX1,glostd,001
21,8,21,0,1,right,RAX1,glostd,002
21,8,22,0,1,right,RAX2,glodev,010
21,8,23,0,1,right,RAX2,glodev,010
21,8,24,0,1,right,RAX2,glodev,010
21,8,25,0,1,right,RAX1,glostd,001
21,8,26,0,1,right,RAX1,glostd,002
21,8,27,0,1,right,RAX1,glostd,003
21,8,28,0,1,right,RAX2,glodev,010
21,8,29,0,1,right,RAX1,glostd,001
21,8,30,0,1,right,RAX1,glostd,002
21,8,31,0,1,right,RAX1,glostd,003
21,8,32,0,1,right,RAX2,glodev,010
21,8,33,0,1,right,RAX1,glostd,001
21,8,34,0,1,right,RAX1,glostd,002
21,8,35,0,1,right,RAX1,glostd,003
21,8,36,0,1,right,RAY2,glodev,020
21,8,37,0,1,right,RAX1,glostd,001
21,8,38,0,1,right,RAX1,glostd,002
21,8,39,0,1,right,RAY2,glodev,020
21,8,40,0,1,right,RAY2,glodev,020
21,8,41,0,1,right,RAY2,glodev,020
21,8,42,0,1,right,RAX1,glostd,001
21,8,43,0,1,right,RAX1,glostd,002
21,8,44,0,1,right,RAX2,glodev,010
21,8,45,0,1,right,RAX1,glostd,001
21,8,46,0,1,right,RAX1,glostd,002
21,8,47,0,1,right,RAX1,glostd,003
21,8,48,0,1,right,RAY2,glodev,020
21,8,49,0,1,right,RAX1,glostd,001
21,8,50,0,1,right,RAX1,glostd,002
21,8,51,0,1,right,RAY2,glodev,020
21,8,52,0,1,right,RAX1,glostd,001
21,8,53,0,1,right,RAX1,glostd,002
21,8,54,0,1,right,RAX1,glostd,003
21,8,55,0,1,right,RAX1,glostd,004
21,8,56,0,1,right,RAX2,glodev,010
21,8,57,0,1,right,RAX1,glostd,001
21,8,58,0,1,right,RAX1,glostd,002
21,8,59,0,1,right,RAX1,glostd,003
21,8,60,0,1,right,RAY2,glodev,020
21,8,61,0,1,right,RAX1,glostd,001
21,8,62,0,1,right,RAX1,glostd,002
21,8,63,0,1,right,RAY2,glodev,020
21,8,64,0,1,right,RAX1,glostd,001
21,8,65,0,1,right,RAX1,glostd,002
21,8,66,0,1,right,RAY2,glodev,020
21,8,67,0,1,right,RAX1,glostd,001
21,8,68,0,1,right,RAX1,glostd,002
21,8,69,0,1,right,RAY2,glodev,020
21,8,70,0,1,right,RAY2,glodev,020
21,8,71,0,1,right,RAX1,glostd,001
21,8,72,0,1,right,RAX1,glostd,002
21,8,73,0,1,right,RAX1,glostd,003
21,8,74,0,1,right,RAY2,glodev,020
21,8,75,0,1,right,RAX1,glostd,001
21,8,76,0,1,right,RAX1,glostd,002
21,8,77,0,1,right,RAX1,glostd,003
21,8,78,0,1,right,RAX1,glostd,004
21,8,79,0,1,right,RAY2,glodev,020
21,8,80,0,1,right,RAX1,glostd,001
21,8,81,0,1,right,RAX1,glostd,002
21,8,82,0,1,right,RAY2,glodev,020
21,8,83,0,1,right,RAX1,glostd,001
21,8,84,0,1,right,RAX1,glostd,002
21,8,85,0,1,right,RAX1,glostd,003
21,8,86,0,1,right,RAY2,glodev,020
21,8,87,0,1,right,RAX1,glostd,001
21,8,88,0,1,right,RAX1,glostd,002
21,8,89,0,1,right,RAX1,glostd,003
21,8,90,0,1,right,RAX1,glostd,004
21,8,91,0,1,right,RAY2,glodev,020
21,8,92,0,1,right,RAX1,glostd,001
21,8,93,0,1,right,RAX1,glostd,002
21,8,94,0,1,right,RAX1,glostd,003
21,8,95,0,1,right,RAX1,glostd,004
21,8,96,0,1,right,RAX2,glodev,010
21,8,97,0,1,right,RAX1,glostd,001
21,8,98,0,1,right,RAX1,glostd,002
