id,block,trial,blocktype,deviance,laterality,stim,trialtype,trialcode
18,10,1,0,1,left,LAX1,glostd,000
18,10,2,0,1,left,LAX1,glostd,000
18,10,3,0,1,left,LAX1,glostd,000
18,10,4,0,1,left,LAX1,glostd,000
18,10,5,0,1,left,LAX1,glostd,000
18,10,6,0,1,left,LAX1,glostd,000
18,10,7,0,1,left,LAX1,glostd,000
18,10,8,0,1,left,LAX1,glostd,000
18,10,9,0,1,left,LAX1,glostd,000
18,10,10,0,1,left,LAX1,glostd,000
18,10,11,0,1,left,LAX1,glostd,000
18,10,12,0,1,left,LAX1,glostd,000
18,10,13,0,1,left,LAX1,glostd,000
18,10,14,0,1,left,LAX1,glostd,000
18,10,15,0,1,left,LAX1,glostd,000
18,10,16,0,1,left,LAX1,glostd,001
18,10,17,0,1,left,LAX1,glostd,002
18,10,18,0,1,left,LAX2,glodev,010
18,10,19,0,1,left,LAX1,glostd,001
18,10,20,0,1,left,LAX1,glostd,002
18,10,21,0,1,left,LAX1,glostd,003
18,10,22,0,1,left,LAX2,glodev,010
18,10,23,0,1,left,LAX1,glostd,001
18,10,24,0,1,left,LAX1,glostd,002
18,10,25,0,1,left,LAX2,glodev,010
18,10,26,0,1,left,LAX1,glostd,001
18,10,27,0,1,left,LAX1,glostd,002
18,10,28,0,1,left,LAX1,glostd,003
18,10,29,0,1,left,LAY2,glodev,020
18,10,30,0,1,left,LAX1,glostd,001
18,10,31,0,1,left,LAX1,glostd,002
18,10,32,0,1,left,LAX2,glodev,010
18,10,33,0,1,left,LAX2,glodev,010
18,10,34,0,1,left,LAX1,glostd,001
18,10,35,0,1,left,LAX1,glostd,002
18,10,36,0,1,left,LAX1,glostd,003
18,10,37,0,1,left,LAX1,glostd,004
18,10,38,0,1,left,LAX2,glodev,010
18,10,39,0,1,left,LAX1,glostd,001
18,10,40,0,1,left,LAX1,glostd,002
18,10,41,0,1,left,LAY2,glodev,020
18,10,42,0,1,left,LAY2,glodev,020
18,10,43,0,1,left,LAX1,glostd,001
18,10,44,0,1,left,LAX1,glostd,002
18,10,45,0,1,left,LAY2,glodev,020
18,10,46,0,1,left,LAX1,glostd,001
18,10,47,0,1,left,LAX1,glostd,002
18,10,48,0,1,left,LAX2,glodev,010
18,10,49,0,1,left,LAX1,glostd,001
18,10,50,0,1,left,LAX1,glostd,002
18,10,51,0,1,left,LAX1,glostd,003
18,10,52,0,1,left,LAX1,glostd,004
18,10,53,0,1,left,LAX2,glodev,010
18,10,54,0,1,left,LAX2,glodev,010
18,10,55,0,1,left,LAX2,glodev,010
18,10,56,0,1,left,LAX1,glostd,001
18,10,57,0,1,left,LAX1,glostd,002
18,10,58,0,1,left,LAX1,glostd,003
18,10,59,0,1,left,LAX2,glodev,010
18,10,60,0,1,left,LAX1,glostd,001
18,10,61,0,1,left,LAX1,glostd,002
18,10,62,0,1,left,LAX1,glostd,003
18,10,63,0,1,left,LAY2,glodev,020
18,10,64,0,1,left,LAX1,glostd,001
18,10,65,0,1,left,LAX1,glostd,002
18,10,66,0,1,left,LAX1,glostd,003
18,10,67,0,1,left,LAY2,glodev,020
18,10,68,0,1,left,LAY2,glodev,020
18,10,69,0,1,left,LAX1,glostd,001
18,10,70,0,1,left,LAX1,glostd,002
18,10,71,0,1,left,LAY2,glodev,020
18,10,72,0,1,left,LAX1,glostd,001
18,10,73,0,1,left,LAX1,glostd,002
18,10,74,0,1,left,LAX1,glostd,003
18,10,75,0,1,left,LAX1,glostd,004
18,10,76,0,1,left,LAY2,glodev,020
18,10,77,0,1,left,LAY2,glodev,020
18,10,78,0,1,left,LAX1,glostd,001
18,10,79,0,1,left,LAX1,glostd,002
18,10,80,0,1,left,LAX1,glostd,003
18,10,81,0,1,left,LAX1,glostd,004
18,10,82,0,1,left,LAY2,glodev,020
18,10,83,0,1,left,LAX1,glostd,001
18,10,84,0,1,left,LAX1,glostd,002
18,10,85,0,1,left,LAX1,glostd,003
18,10,86,0,1,left,LAX2,glodev,010
18,10,87,0,1,left,LAX1,glostd,001
18,10,88,0,1,left,LAX1,glostd,002
18,10,89,0,1,left,LAX1,glostd,003
18,10,90,0,1,left,LAX1,glostd,004
18,10,91,0,1,left,LAY2,glodev,020
18,10,92,0,1,left,LAX1,glostd,001
18,10,93,0,1,left,LAX1,glostd,002
18,10,94,0,1,left,LAX1,glostd,003
18,10,95,0,1,left,LAX1,glostd,004
18,10,96,0,1,left,LAX2,glodev,010
18,10,97,0,1,left,LAX1,glostd,001
18,10,98,0,1,left,LAX1,glostd,002
18,10,99,0,1,left,LAX1,glostd,003
18,10,100,0,1,left,LAX1,glostd,004
18,10,101,0,1,left,LAX2,glodev,010
18,10,102,0,1,left,LAX1,glostd,001
18,10,103,0,1,left,LAX1,glostd,002
18,10,104,0,1,left,LAX1,glostd,003
18,10,105,0,1,left,LAY2,glodev,020
18,10,106,0,1,left,LAX1,glostd,001
18,10,107,0,1,left,LAX1,glostd,002
18,10,108,0,1,left,LAX2,glodev,010
18,10,109,0,1,left,LAX1,glostd,001
18,10,110,0,1,left,LAX1,glostd,002
18,10,111,0,1,left,LAX2,glodev,010
18,10,112,0,1,left,LAX1,glostd,001
18,10,113,0,1,left,LAX1,glostd,002
18,10,114,0,1,left,LAX1,glostd,003
18,10,115,0,1,left,LAX1,glostd,004
18,10,116,0,1,left,LAX2,glodev,010
18,10,117,0,1,left,LAX2,glodev,010
18,10,118,0,1,left,LAX1,glostd,001
18,10,119,0,1,left,LAX1,glostd,002
18,10,120,0,1,left,LAX1,glostd,003
18,10,121,0,1,left,LAX2,glodev,010
18,10,122,0,1,left,LAX1,glostd,001
18,10,123,0,1,left,LAX1,glostd,002
18,10,124,0,1,left,LAX1,glostd,003
18,10,125,0,1,left,LAX1,glostd,004
18,10,126,0,1,left,LAY2,glodev,020
18,10,127,0,1,left,LAX1,glostd,001
18,10,128,0,1,left,LAX1,glostd,002
18,10,129,0,1,left,LAX1,glostd,003
18,10,130,0,1,left,LAX2,glodev,010
18,10,131,0,1,left,LAX1,glostd,001
18,10,132,0,1,left,LAX1,glostd,002
18,10,133,0,1,left,LAX1,glostd,003
18,10,134,0,1,left,LAX2,glodev,010
18,10,135,0,1,left,LAX1,glostd,001
18,10,136,0,1,left,LAX1,glostd,002
18,10,137,0,1,left,LAX2,glodev,010
18,10,138,0,1,left,LAX1,glostd,001
18,10,139,0,1,left,LAX1,glostd,002
18,10,140,0,1,left,LAX1,glostd,003
18,10,141,0,1,left,LAX1,glostd,004
18,10,142,0,1,left,LAX2,glodev,010
18,10,143,0,1,left,LAX1,glostd,001
