id,block,trial,blocktype,deviance,laterality,stim,trialtype,trialcode
20,10,1,1,1,left,LAX2,glostd,100
20,10,2,1,1,left,LAX2,glostd,100
20,10,3,1,1,left,LAX2,glostd,100
20,10,4,1,1,left,LAX2,glostd,100
20,10,5,1,1,left,LAX2,glostd,100
20,10,6,1,1,left,LAX2,glostd,100
20,10,7,1,1,left,LAX2,glostd,100
20,10,8,1,1,left,LAX2,glostd,100
20,10,9,1,1,left,LAX2,glostd,100
20,10,10,1,1,left,LAX2,glostd,100
20,10,11,1,1,left,LAX2,glostd,100
20,10,12,1,1,left,LAX2,glostd,100
20,10,13,1,1,left,LAX2,glostd,100
20,10,14,1,1,left,LAX2,glostd,100
20,10,15,1,1,left,LAX2,glostd,100
20,10,16,1,1,left,LAY2,glodev,120
20,10,17,1,1,left,LAX2,glostd,101
20,10,18,1,1,left,LAX2,glostd,102
20,10,19,1,1,left,LAX1,glodev,110
20,10,20,1,1,left,LAX2,glostd,101
20,10,21,1,1,left,LAX2,glostd,102
20,10,22,1,1,left,LAY2,glodev,120
20,10,23,1,1,left,LAX2,glostd,101
20,10,24,1,1,left,LAX2,glostd,102
20,10,25,1,1,left,LAX2,glostd,103
20,10,26,1,1,left,LAX1,glodev,110
20,10,27,1,1,left,LAX1,glodev,110
20,10,28,1,1,left,LAX2,glostd,101
20,10,29,1,1,left,LAX2,glostd,102
20,10,30,1,1,left,LAX2,glostd,103
20,10,31,1,1,left,LAX2,glostd,104
20,10,32,1,1,left,LAX1,glodev,110
20,10,33,1,1,left,LAX1,glodev,110
20,10,34,1,1,left,LAX1,glodev,110
20,10,35,1,1,left,LAX2,glostd,101
20,10,36,1,1,left,LAX2,glostd,102
20,10,37,1,1,left,LAX2,glostd,103
20,10,38,1,1,left,LAX2,glostd,104
20,10,39,1,1,left,LAX1,glodev,110
20,10,40,1,1,left,LAX2,glostd,101
20,10,41,1,1,left,LAX2,glostd,102
20,10,42,1,1,left,LAX1,glodev,110
20,10,43,1,1,left,LAX2,glostd,101
20,10,44,1,1,left,LAX2,glostd,102
20,10,45,1,1,left,LAY2,glodev,120
20,10,46,1,1,left,LAX2,glostd,101
20,10,47,1,1,left,LAX2,glostd,102
20,10,48,1,1,left,LAX2,glostd,103
20,10,49,1,1,left,LAY2,glodev,120
20,10,50,1,1,left,LAX2,glostd,101
20,10,51,1,1,left,LAX2,glostd,102
20,10,52,1,1,left,LAX1,glodev,110
20,10,53,1,1,left,LAX1,glodev,110
20,10,54,1,1,left,LAX2,glostd,101
20,10,55,1,1,left,LAX2,glostd,102
20,10,56,1,1,left,LAX2,glostd,103
20,10,57,1,1,left,LAX1,glodev,110
20,10,58,1,1,left,LAX2,glostd,101
20,10,59,1,1,left,LAX2,glostd,102
20,10,60,1,1,left,LAX2,glostd,103
