id,block,trial,blocktype,deviance,laterality,stim,trialtype,trialcode
4,11,1,1,1,left,LAX2,glostd,100
4,11,2,1,1,left,LAX2,glostd,100
4,11,3,1,1,left,LAX2,glostd,100
4,11,4,1,1,left,LAX2,glostd,100
4,11,5,1,1,left,LAX2,glostd,100
4,11,6,1,1,left,LAX2,glostd,100
4,11,7,1,1,left,LAX2,glostd,100
4,11,8,1,1,left,LAX2,glostd,100
4,11,9,1,1,left,LAX2,glostd,100
4,11,10,1,1,left,LAX2,glostd,100
4,11,11,1,1,left,LAX2,glostd,100
4,11,12,1,1,left,LAX2,glostd,100
4,11,13,1,1,left,LAX2,glostd,100
4,11,14,1,1,left,LAX2,glostd,100
4,11,15,1,1,left,LAX2,glostd,100
4,11,16,1,1,left,LAX2,glostd,101
4,11,17,1,1,left,LAX2,glostd,102
4,11,18,1,1,left,LAX2,glostd,103
4,11,19,1,1,left,LAX2,glostd,104
4,11,20,1,1,left,LAX1,glodev,110
4,11,21,1,1,left,LAX2,glostd,101
4,11,22,1,1,left,LAX2,glostd,102
4,11,23,1,1,left,LAX1,glodev,110
4,11,24,1,1,left,LAX2,glostd,101
4,11,25,1,1,left,LAX2,glostd,102
4,11,26,1,1,left,LAY2,glodev,120
4,11,27,1,1,left,LAX2,glostd,101
4,11,28,1,1,left,LAX2,glostd,102
4,11,29,1,1,left,LAX2,glostd,103
4,11,30,1,1,left,LAY2,glodev,120
4,11,31,1,1,left,LAY2,glodev,120
4,11,32,1,1,left,LAX2,glostd,101
4,11,33,1,1,left,LAX2,glostd,102
4,11,34,1,1,left,LAX1,glodev,110
4,11,35,1,1,left,LAX2,glostd,101
4,11,36,1,1,left,LAX2,glostd,102
4,11,37,1,1,left,LAX2,glostd,103
4,11,38,1,1,left,LAY2,glodev,120
4,11,39,1,1,left,LAX2,glostd,101
4,11,40,1,1,left,LAX2,glostd,102
4,11,41,1,1,left,LAX2,glostd,103
4,11,42,1,1,left,LAX1,glodev,110
4,11,43,1,1,left,LAX1,glodev,110
4,11,44,1,1,left,LAX2,glostd,101
4,11,45,1,1,left,LAX2,glostd,102
4,11,46,1,1,left,LAX1,glodev,110
4,11,47,1,1,left,LAX2,glostd,101
4,11,48,1,1,left,LAX2,glostd,102
4,11,49,1,1,left,LAY2,glodev,120
4,11,50,1,1,left,LAX2,glostd,101
4,11,51,1,1,left,LAX2,glostd,102
4,11,52,1,1,left,LAX2,glostd,103
4,11,53,1,1,left,LAX2,glostd,104
4,11,54,1,1,left,LAY2,glodev,120
4,11,55,1,1,left,LAX2,glostd,101
4,11,56,1,1,left,LAX2,glostd,102
4,11,57,1,1,left,LAY2,glodev,120
4,11,58,1,1,left,LAX2,glostd,101
4,11,59,1,1,left,LAX2,glostd,102
4,11,60,1,1,left,LAX2,glostd,103
4,11,61,1,1,left,LAX1,glodev,110
4,11,62,1,1,left,LAX2,glostd,101
4,11,63,1,1,left,LAX2,glostd,102
4,11,64,1,1,left,LAX2,glostd,103
4,11,65,1,1,left,LAX2,glostd,104
4,11,66,1,1,left,LAX1,glodev,110
4,11,67,1,1,left,LAX2,glostd,101
4,11,68,1,1,left,LAX2,glostd,102
4,11,69,1,1,left,LAX1,glodev,110
4,11,70,1,1,left,LAX2,glostd,101
4,11,71,1,1,left,LAX2,glostd,102
4,11,72,1,1,left,LAX2,glostd,103
4,11,73,1,1,left,LAX1,glodev,110
4,11,74,1,1,left,LAX2,glostd,101
4,11,75,1,1,left,LAX2,glostd,102
4,11,76,1,1,left,LAX2,glostd,103
4,11,77,1,1,left,LAX2,glostd,104
4,11,78,1,1,left,LAY2,glodev,120
4,11,79,1,1,left,LAY2,glodev,120
4,11,80,1,1,left,LAY2,glodev,120
4,11,81,1,1,left,LAX2,glostd,101
4,11,82,1,1,left,LAX2,glostd,102
4,11,83,1,1,left,LAY2,glodev,120
4,11,84,1,1,left,LAX2,glostd,101
4,11,85,1,1,left,LAX2,glostd,102
4,11,86,1,1,left,LAX1,glodev,110
4,11,87,1,1,left,LAX1,glodev,110
4,11,88,1,1,left,LAX2,glostd,101
4,11,89,1,1,left,LAX2,glostd,102
4,11,90,1,1,left,LAX2,glostd,103
4,11,91,1,1,left,LAX2,glostd,104
4,11,92,1,1,left,LAY2,glodev,120
4,11,93,1,1,left,LAX2,glostd,101
4,11,94,1,1,left,LAX2,glostd,102
4,11,95,1,1,left,LAX2,glostd,103
4,11,96,1,1,left,LAX2,glostd,104
4,11,97,1,1,left,LAX1,glodev,110
4,11,98,1,1,left,LAX2,glostd,101
4,11,99,1,1,left,LAX2,glostd,102
4,11,100,1,1,left,LAX2,glostd,103
4,11,101,1,1,left,LAX1,glodev,110
4,11,102,1,1,left,LAX2,glostd,101
4,11,103,1,1,left,LAX2,glostd,102
4,11,104,1,1,left,LAX2,glostd,103
4,11,105,1,1,left,LAX1,glodev,110
4,11,106,1,1,left,LAX2,glostd,101
4,11,107,1,1,left,LAX2,glostd,102
4,11,108,1,1,left,LAX2,glostd,103
4,11,109,1,1,left,LAX2,glostd,104
4,11,110,1,1,left,LAY2,glodev,120
4,11,111,1,1,left,LAX2,glostd,101
4,11,112,1,1,left,LAX2,glostd,102
4,11,113,1,1,left,LAX2,glostd,103
4,11,114,1,1,left,LAX2,glostd,104
4,11,115,1,1,left,LAY2,glodev,120
4,11,116,1,1,left,LAX2,glostd,101
4,11,117,1,1,left,LAX2,glostd,102
4,11,118,1,1,left,LAX2,glostd,103
4,11,119,1,1,left,LAX1,glodev,110
4,11,120,1,1,left,LAX2,glostd,101
4,11,121,1,1,left,LAX2,glostd,102
4,11,122,1,1,left,LAX2,glostd,103
4,11,123,1,1,left,LAX2,glostd,104
4,11,124,1,1,left,LAX1,glodev,110
4,11,125,1,1,left,LAX2,glostd,101
4,11,126,1,1,left,LAX2,glostd,102
4,11,127,1,1,left,LAX2,glostd,103
4,11,128,1,1,left,LAY2,glodev,120
4,11,129,1,1,left,LAX2,glostd,101
4,11,130,1,1,left,LAX2,glostd,102
4,11,131,1,1,left,LAX2,glostd,103
4,11,132,1,1,left,LAX2,glostd,104
4,11,133,1,1,left,LAX1,glodev,110
4,11,134,1,1,left,LAX2,glostd,101
4,11,135,1,1,left,LAX2,glostd,102
4,11,136,1,1,left,LAX2,glostd,103
4,11,137,1,1,left,LAX2,glostd,104
4,11,138,1,1,left,LAX1,glodev,110
4,11,139,1,1,left,LAX2,glostd,101
4,11,140,1,1,left,LAX2,glostd,102
4,11,141,1,1,left,LAX2,glostd,103
4,11,142,1,1,left,LAY2,glodev,120
4,11,143,1,1,left,LAX2,glostd,101
4,11,144,1,1,left,LAX2,glostd,102
4,11,145,1,1,left,LAX2,glostd,103
4,11,146,1,1,left,LAX1,glodev,110
4,11,147,1,1,left,LAX2,glostd,101
4,11,148,1,1,left,LAX2,glostd,102
4,11,149,1,1,left,LAX2,glostd,103
4,11,150,1,1,left,LAY2,glodev,120
4,11,151,1,1,left,LAX2,glostd,101
4,11,152,1,1,left,LAX2,glostd,102
4,11,153,1,1,left,LAY2,glodev,120
4,11,154,1,1,left,LAX2,glostd,101
4,11,155,1,1,left,LAX2,glostd,102
4,11,156,1,1,left,LAX1,glodev,110
4,11,157,1,1,left,LAX2,glostd,101
4,11,158,1,1,left,LAX2,glostd,102
4,11,159,1,1,left,LAX2,glostd,103
4,11,160,1,1,left,LAY2,glodev,120
4,11,161,1,1,left,LAX2,glostd,101
4,11,162,1,1,left,LAX2,glostd,102
4,11,163,1,1,left,LAX2,glostd,103
4,11,164,1,1,left,LAX1,glodev,110
4,11,165,1,1,left,LAX2,glostd,101
4,11,166,1,1,left,LAX2,glostd,102
4,11,167,1,1,left,LAX2,glostd,103
4,11,168,1,1,left,LAX2,glostd,104
4,11,169,1,1,left,LAY2,glodev,120
4,11,170,1,1,left,LAX2,glostd,101
4,11,171,1,1,left,LAX2,glostd,102
4,11,172,1,1,left,LAX2,glostd,103
4,11,173,1,1,left,LAX2,glostd,104
4,11,174,1,1,left,LAY2,glodev,120
4,11,175,1,1,left,LAX2,glostd,101
4,11,176,1,1,left,LAX2,glostd,102
4,11,177,1,1,left,LAX2,glostd,103
4,11,178,1,1,left,LAX2,glostd,104
4,11,179,1,1,left,LAY2,glodev,120
4,11,180,1,1,left,LAX2,glostd,101
4,11,181,1,1,left,LAX2,glostd,102
4,11,182,1,1,left,LAX1,glodev,110
4,11,183,1,1,left,LAX2,glostd,101
4,11,184,1,1,left,LAX2,glostd,102
4,11,185,1,1,left,LAX2,glostd,103
4,11,186,1,1,left,LAX2,glostd,104
4,11,187,1,1,left,LAY2,glodev,120
4,11,188,1,1,left,LAY2,glodev,120
4,11,189,1,1,left,LAX2,glostd,101
4,11,190,1,1,left,LAX2,glostd,102
4,11,191,1,1,left,LAX2,glostd,103
4,11,192,1,1,left,LAX2,glostd,104
4,11,193,1,1,left,LAX1,glodev,110
4,11,194,1,1,left,LAX2,glostd,101
4,11,195,1,1,left,LAX2,glostd,102
4,11,196,1,1,left,LAY2,glodev,120
4,11,197,1,1,left,LAX2,glostd,101
4,11,198,1,1,left,LAX2,glostd,102
4,11,199,1,1,left,LAX2,glostd,103
4,11,200,1,1,left,LAY2,glodev,120
4,11,201,1,1,left,LAX2,glostd,101
4,11,202,1,1,left,LAX2,glostd,102
4,11,203,1,1,left,LAX2,glostd,103
4,11,204,1,1,left,LAY2,glodev,120
4,11,205,1,1,left,LAX2,glostd,101
4,11,206,1,1,left,LAX2,glostd,102
4,11,207,1,1,left,LAX1,glodev,110
4,11,208,1,1,left,LAX1,glodev,110
4,11,209,1,1,left,LAX1,glodev,110
4,11,210,1,1,left,LAX2,glostd,101
4,11,211,1,1,left,LAX2,glostd,102
4,11,212,1,1,left,LAY2,glodev,120
4,11,213,1,1,left,LAX2,glostd,101
4,11,214,1,1,left,LAX2,glostd,102
4,11,215,1,1,left,LAX1,glodev,110
4,11,216,1,1,left,LAX2,glostd,101
4,11,217,1,1,left,LAX2,glostd,102
4,11,218,1,1,left,LAX2,glostd,103
4,11,219,1,1,left,LAX2,glostd,104
4,11,220,1,1,left,LAX1,glodev,110
4,11,221,1,1,left,LAX1,glodev,110
4,11,222,1,1,left,LAX2,glostd,101
4,11,223,1,1,left,LAX2,glostd,102
4,11,224,1,1,left,LAY2,glodev,120
4,11,225,1,1,left,LAY2,glodev,120
