id,block,trial,blocktype,deviance,laterality,stim,trialtype,trialcode
6,10,1,0,1,right,RAX1,glostd,000
6,10,2,0,1,right,RAX1,glostd,000
6,10,3,0,1,right,RAX1,glostd,000
6,10,4,0,1,right,RAX1,glostd,000
6,10,5,0,1,right,RAX1,glostd,000
6,10,6,0,1,right,RAX1,glostd,000
6,10,7,0,1,right,RAX1,glostd,000
6,10,8,0,1,right,RAX1,glostd,000
6,10,9,0,1,right,RAX1,glostd,000
6,10,10,0,1,right,RAX1,glostd,000
6,10,11,0,1,right,RAX1,glostd,000
6,10,12,0,1,right,RAX1,glostd,000
6,10,13,0,1,right,RAX1,glostd,000
6,10,14,0,1,right,RAX1,glostd,000
6,10,15,0,1,right,RAX1,glostd,000
6,10,16,0,1,right,RAX1,glostd,001
6,10,17,0,1,right,RAX1,glostd,002
6,10,18,0,1,right,RAX2,glodev,010
6,10,19,0,1,right,RAX1,glostd,001
6,10,20,0,1,right,RAX1,glostd,002
6,10,21,0,1,right,RAY2,glodev,020
6,10,22,0,1,right,RAY2,glodev,020
6,10,23,0,1,right,RAY2,glodev,020
6,10,24,0,1,right,RAX1,glostd,001
6,10,25,0,1,right,RAX1,glostd,002
6,10,26,0,1,right,RAX1,glostd,003
6,10,27,0,1,right,RAX1,glostd,004
6,10,28,0,1,right,RAX2,glodev,010
6,10,29,0,1,right,RAX1,glostd,001
6,10,30,0,1,right,RAX1,glostd,002
6,10,31,0,1,right,RAX1,glostd,003
6,10,32,0,1,right,RAX1,glostd,004
6,10,33,0,1,right,RAX2,glodev,010
6,10,34,0,1,right,RAX2,glodev,010
6,10,35,0,1,right,RAX1,glostd,001
6,10,36,0,1,right,RAX1,glostd,002
6,10,37,0,1,right,RAX1,glostd,003
6,10,38,0,1,right,RAX1,glostd,004
6,10,39,0,1,right,RAY2,glodev,020
6,10,40,0,1,right,RAX1,glostd,001
6,10,41,0,1,right,RAX1,glostd,002
6,10,42,0,1,right,RAX1,glostd,003
6,10,43,0,1,right,RAX1,glostd,004
6,10,44,0,1,right,RAY2,glodev,020
6,10,45,0,1,right,RAX1,glostd,001
6,10,46,0,1,right,RAX1,glostd,002
6,10,47,0,1,right,RAY2,glodev,020
6,10,48,0,1,right,RAY2,glodev,020
6,10,49,0,1,right,RAX1,glostd,001
6,10,50,0,1,right,RAX1,glostd,002
6,10,51,0,1,right,RAX1,glostd,003
6,10,52,0,1,right,RAX2,glodev,010
6,10,53,0,1,right,RAX1,glostd,001
6,10,54,0,1,right,RAX1,glostd,002
6,10,55,0,1,right,RAX1,glostd,003
6,10,56,0,1,right,RAX1,glostd,004
6,10,57,0,1,right,RAY2,glodev,020
6,10,58,0,1,right,RAY2,glodev,020
6,10,59,0,1,right,RAX1,glostd,001
6,10,60,0,1,right,RAX1,glostd,002
6,10,61,0,1,right,RAY2,glodev,020
6,10,62,0,1,right,RAX1,glostd,001
6,10,63,0,1,right,RAX1,glostd,002
6,10,64,0,1,right,RAX1,glostd,003
6,10,65,0,1,right,RAX2,glodev,010
6,10,66,0,1,right,RAX2,glodev,010
6,10,67,0,1,right,RAX1,glostd,001
6,10,68,0,1,right,RAX1,glostd,002
6,10,69,0,1,right,RAX1,glostd,003
6,10,70,0,1,right,RAX1,glostd,004
6,10,71,0,1,right,RAX2,glodev,010
6,10,72,0,1,right,RAX1,glostd,001
6,10,73,0,1,right,RAX1,glostd,002
6,10,74,0,1,right,RAX1,glostd,003
6,10,75,0,1,right,RAX2,glodev,010
6,10,76,0,1,right,RAX1,glostd,001
6,10,77,0,1,right,RAX1,glostd,002
6,10,78,0,1,right,RAX1,glostd,003
6,10,79,0,1,right,RAX1,glostd,004
6,10,80,0,1,right,RAY2,glodev,020
6,10,81,0,1,right,RAX1,glostd,001
6,10,82,0,1,right,RAX1,glostd,002
6,10,83,0,1,right,RAX1,glostd,003
6,10,84,0,1,right,RAX2,glodev,010
6,10,85,0,1,right,RAX1,glostd,001
6,10,86,0,1,right,RAX1,glostd,002
6,10,87,0,1,right,RAX1,glostd,003
6,10,88,0,1,right,RAX1,glostd,004
6,10,89,0,1,right,RAY2,glodev,020
6,10,90,0,1,right,RAX1,glostd,001
6,10,91,0,1,right,RAX1,glostd,002
6,10,92,0,1,right,RAX1,glostd,003
6,10,93,0,1,right,RAX1,glostd,004
6,10,94,0,1,right,RAX2,glodev,010
6,10,95,0,1,right,RAX1,glostd,001
6,10,96,0,1,right,RAX1,glostd,002
6,10,97,0,1,right,RAX1,glostd,003
6,10,98,0,1,right,RAX1,glostd,004
6,10,99,0,1,right,RAX2,glodev,010
6,10,100,0,1,right,RAX1,glostd,001
6,10,101,0,1,right,RAX1,glostd,002
6,10,102,0,1,right,RAX2,glodev,010
6,10,103,0,1,right,RAX1,glostd,001
6,10,104,0,1,right,RAX1,glostd,002
6,10,105,0,1,right,RAY2,glodev,020
6,10,106,0,1,right,RAX1,glostd,001
6,10,107,0,1,right,RAX1,glostd,002
6,10,108,0,1,right,RAX1,glostd,003
6,10,109,0,1,right,RAY2,glodev,020
6,10,110,0,1,right,RAX1,glostd,001
6,10,111,0,1,right,RAX1,glostd,002
6,10,112,0,1,right,RAX2,glodev,010
6,10,113,0,1,right,RAX1,glostd,001
6,10,114,0,1,right,RAX1,glostd,002
6,10,115,0,1,right,RAX1,glostd,003
6,10,116,0,1,right,RAY2,glodev,020
6,10,117,0,1,right,RAX1,glostd,001
6,10,118,0,1,right,RAX1,glostd,002
6,10,119,0,1,right,RAY2,glodev,020
6,10,120,0,1,right,RAX1,glostd,001
6,10,121,0,1,right,RAX1,glostd,002
6,10,122,0,1,right,RAX1,glostd,003
6,10,123,0,1,right,RAX2,glodev,010
6,10,124,0,1,right,RAX1,glostd,001
6,10,125,0,1,right,RAX1,glostd,002
6,10,126,0,1,right,RAX1,glostd,003
6,10,127,0,1,right,RAX1,glostd,004
6,10,128,0,1,right,RAX2,glodev,010
6,10,129,0,1,right,RAX2,glodev,010
6,10,130,0,1,right,RAX2,glodev,010
6,10,131,0,1,right,RAX1,glostd,001
6,10,132,0,1,right,RAX1,glostd,002
6,10,133,0,1,right,RAX1,glostd,003
6,10,134,0,1,right,RAX1,glostd,004
6,10,135,0,1,right,RAY2,glodev,020
6,10,136,0,1,right,RAX1,glostd,001
6,10,137,0,1,right,RAX1,glostd,002
6,10,138,0,1,right,RAX1,glostd,003
6,10,139,0,1,right,RAX2,glodev,010
6,10,140,0,1,right,RAX1,glostd,001
6,10,141,0,1,right,RAX1,glostd,002
6,10,142,0,1,right,RAY2,glodev,020
6,10,143,0,1,right,RAX1,glostd,001
6,10,144,0,1,right,RAX1,glostd,002
6,10,145,0,1,right,RAX2,glodev,010
6,10,146,0,1,right,RAX1,glostd,001
6,10,147,0,1,right,RAX1,glostd,002
6,10,148,0,1,right,RAX1,glostd,003
6,10,149,0,1,right,RAX1,glostd,004
6,10,150,0,1,right,RAX2,glodev,010
6,10,151,0,1,right,RAX1,glostd,001
6,10,152,0,1,right,RAX1,glostd,002
6,10,153,0,1,right,RAX1,glostd,003
6,10,154,0,1,right,RAY2,glodev,020
6,10,155,0,1,right,RAX1,glostd,001
6,10,156,0,1,right,RAX1,glostd,002
6,10,157,0,1,right,RAX1,glostd,003
6,10,158,0,1,right,RAX1,glostd,004
6,10,159,0,1,right,RAY2,glodev,020
6,10,160,0,1,right,RAX1,glostd,001
6,10,161,0,1,right,RAX1,glostd,002
6,10,162,0,1,right,RAY2,glodev,020
6,10,163,0,1,right,RAX1,glostd,001
6,10,164,0,1,right,RAX1,glostd,002
6,10,165,0,1,right,RAX2,glodev,010
6,10,166,0,1,right,RAX1,glostd,001
6,10,167,0,1,right,RAX1,glostd,002
6,10,168,0,1,right,RAX1,glostd,003
6,10,169,0,1,right,RAY2,glodev,020
6,10,170,0,1,right,RAX1,glostd,001
6,10,171,0,1,right,RAX1,glostd,002
6,10,172,0,1,right,RAX1,glostd,003
6,10,173,0,1,right,RAY2,glodev,020
6,10,174,0,1,right,RAX1,glostd,001
6,10,175,0,1,right,RAX1,glostd,002
6,10,176,0,1,right,RAX2,glodev,010
6,10,177,0,1,right,RAX1,glostd,001
6,10,178,0,1,right,RAX1,glostd,002
6,10,179,0,1,right,RAX2,glodev,010
6,10,180,0,1,right,RAX1,glostd,001
6,10,181,0,1,right,RAX1,glostd,002
6,10,182,0,1,right,RAX1,glostd,003
6,10,183,0,1,right,RAX2,glodev,010
6,10,184,0,1,right,RAX1,glostd,001
6,10,185,0,1,right,RAX1,glostd,002
6,10,186,0,1,right,RAX1,glostd,003
6,10,187,0,1,right,RAX1,glostd,004
